spec,label,method,rural_beta,rural_se,rural_p,rsq,n,fe_year,fe_qalicb,fe_state,fe_cde
M0,Raw,ols,-0.26225892496708414,0.05973118400635994,0.000011301051061142302,0.0020330427215242697,8024,False,False,False,False
M1,+ year,ols,-0.2492351438167053,0.060576503565311864,0.000038821064217335164,0.015463589747546247,8024,True,False,False,False
M2,+ QALICB type,ols,-0.1856368063298589,0.060878176835919,0.0022936298193446335,0.022387920835136122,8024,True,True,False,False
M3,+ state,ols,-0.17200578105953668,0.06743342003332778,0.010749146937038828,0.038704103586657324,8024,True,True,True,False
M4,+ CDE,ols,-0.04669406877348936,0.10112753588507604,0.6442717516729041,0.13137374310871142,8024,True,True,False,True
